ra,dec,name
37.821666666666665,20.30461111111111,SN 2019aamp
13.956666666666667,8.280172222222223,SN 2019zeu
15.018333333333333,43.41491111111111,SN 2019zbv
54.78,84.0671,SN 2019xaq
47.95,0.82665,SN 2019unb
3.2533333333333334,40.24236111111111,SN 2019ujb
10.218333333333334,-19.69235,SN 2019szu
54.385,17.49204166666667,SN 2019stc
12.656666666666666,36.473555555555556,SN 2019sgh
1.1966666666666668,14.0265,SN 2019sgg
18.446666666666665,-20.733380555555556,SN 2019pvs
12.916666666666666,-16.6353,SN 2019pud
52.36,-17.803472222222222,SN 2019otl
52.025,7.61661111111111,SN 2019nhs
54.445,47.26128333333333,SN 2019neq
4.676666666666667,42.869819444444445,SN 2019lsq
57.663333333333334,64.35516666666666,SN 2019kwu
39.376666666666665,78.76211111111111,SN 2019kwt
