ID,Plaintext Name,Horizons Name,RA (deg),DEC,RA (hours),RA (solsys),DEC (solsys),Solar System Flag
465,NGC 3898,,177.314167,56.084444,11.820944466666667,,,0.0
425,Sp1149 (A1),,177.397083,22.396111,11.826472200000001,,,0.0
151,beta Vir,,177.67375,1.764722,11.844916666666668,,,0.0
467,NGC 3923,,177.7575,-28.806111,11.8505,,,0.0
210,Groombridge 1830,,178.245,37.718611,11.883000000000001,,,0.0
259,WD 1150+012,,178.272917,0.946111,11.884861133333334,,,0.0
603,65 UMa,,178.77375,46.476944,11.91825,,,0.0
449,Antennae TDG,,180.357083,-19.011667,12.023805533333332,,,0.0
248,PG 1159-035,,180.441667,-3.761389,12.029444466666666,,,0.0
448,Antennae,,180.471667,-18.877222,12.031444466666667,,,0.0
28,65 Cybele,65 Cybele (A861 EB),181.05983,0.91587,12.070655333333333,,,1.0
642,Snake,,181.545,-8.800278,12.103,,,0.0
759,Dougie,,182.199583,43.0225,12.146638866666667,,,0.0
48,(523899) 1997 CV29,523899 (1997 CV29),182.40856,6.50702,12.160570666666667,,,1.0
264,1E 1207.4-5209,,182.50375,-52.441111,12.166916666666667,,,0.0
495,NGC 4151,,182.635833,39.405833,12.1757222,,,0.0
680,HD 106038,,183.005833,13.261389,12.200388866666666,,,0.0
258,HZ 21,,183.484583,32.941944,12.232305533333333,,,0.0
690,Was 49b,,183.574167,29.528611,12.238277799999999,,,0.0
3,624 Hektor,624 Hektor (A907 CF),183.98416,-8.61106,12.265610666666667,,,1.0
466,UGC 7321,,184.391667,22.539722,12.292777800000001,,,0.0
419,M99,,184.706667,14.416389,12.3137778,,,0.0
494,NGC 4258,,184.74,47.303611,12.316,,,0.0
395,NGC 4260,,184.8425,6.098889,12.322833333333334,,,0.0
10,15 Eunomia,15 Eunomia (A851 OA),184.90235,-17.55366,12.326823333333333,,,1.0
624,OGC 21,,185.522083,45.303056,12.368138866666667,,,0.0
408,M100,,185.72875,15.822222,12.381916666666665,,,0.0
800,CSL-1,,185.877083,-12.649167,12.391805533333333,,,0.0
388,HVC 125+41-208,,186.0,75.6,12.4,,,0.0
611,M85-HCC 1,,186.345,18.181667,12.423,,,0.0
