ra,dec,name
3.4483333333333333,38.184061111111106,SN 2019gwc
56.916666666666664,22.142086111111112,SN 2019gcl
4.836666666666667,0.9445833333333333,SN 2019fie
49.84166666666667,12.695611111111111,SN 2019eto
54.175,61.195116666666664,SN 2019cqr
24.118333333333332,8.926633333333333,SN 2019but
16.66,-7.392594444444445,SN 2019azq
41.03,38.98603888888889,SN 2019qg
50.06,55.16931388888889,SN 2018kqr
22.7,21.012016666666668,SN 2018keq
54.23166666666667,20.73401388888889,SN 2018jex
10.528333333333332,10.043619444444444,SN 2018ium
9.096666666666666,14.541033333333333,SN 2018hxo
40.21333333333333,-19.979149999999997,SN 2018hsf
59.38166666666667,8.751202777777777,SN 2018hom
19.243333333333332,60.939611111111105,SN 2018gsy
8.196666666666667,-4.285225,SN 2018gju
